Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
,18,91,8.118,33.03,739,"1,348",260,752,440,,,,,,,,,,,,
,19,91,8.106,31.04,738,"1,346",260.6,755,440,,,,,,,,,,,,
,20,90.5,7.755,26.44,701,"1,346",260.3,775,440,,,,,,,,,,,,
,21,91,7.852,30.79,715,"1,351",260.3,789,445,,,,,,,,,,,,
,22,91.5,7.616,33.01,697,"1,350",260.5,786,445,,,,,,,,,,,,
TSSR12204V003,1,90.2,8.366,30.28,754,"1,355",260.5,788,445,1st,6,13.85,8.49,7.66,7.23,0.489,0.99,6.36,6.06,75%,55
,2,91,8.354,32.29,760,"1,351",260.3,794,445,2nd,34,,8.36,,6.47,0.483,,5.84,5.65,70%,52
,3,90.5,8.188,31.19,742,"1,350",260.3,794,445,3rd-1,44,,8.38,,6.56,0.483,,5.98,5.94,71%,34
,4,91,7.874,30.43,716,"1,350",260.4,805,445,3rd-2,58,,8.32,,6.9,0.487,,6.1,5.76,73%,
,5,90.2,7.978,29.93,720,"1,351",260.2,811,445,4th,98,,8.55,,7.17,0.483,,6.28,5.79,73%,
,6,90.5,8.042,30.24,728,"1,349",260.4,820,445,5th,122,,8.36,,6.84,0.48,,5.94,5.82,71%,
,7,90.2,7.858,29.58,709,"1,351",260.4,820,445,,,,,,,,,,,,
,8,90.7,7.822,28.82,710,"1,352",260.4,830,445,,,,,,,,,,,,
,9,91,8.208,30.74,747,"1,346",260.4,846,445,,,,,,,,,,,,
,10,91,8.154,31.34,742,"1,351",260.1,842,445,,,,,,,,,,,,
,11,91,8.418,32.42,766,"1,325",260.3,845,445,,,,,,,,,,,,
,12,91.5,7.723,30.73,707,"1,345",260.4,852,445,,,,,,,,,,,,
,13,90.7,7.868,30.77,714,"1,340",260.4,857,445,,,,,,,,,,,,
,14,91,7.716,32.87,702,"1,350",260.4,844,445,,,,,,,,,,,,
,15,91,8.278,29.5,753,"1,351",260.4,851,445,,,,,,,,,,,,
,16,92,7.501,29.71,690,"1,348",260.4,859,445,,,,,,,,,,,,
,17,91,7.931,30.99,722,"1,352",260,855,445,,,,,,,,,,,,
,18,91,7.728,30.35,703,"1,347",260.3,860,445,,,,,,,,,,,,
,19,90,7.85,30.95,706,"1,350",260.4,863,445,,,,,,,,,,,,
,20,90.5,7.801,30.39,706,"1,349",260.4,871,445,,,,,,,,,,,,
,21,90.8,7.988,31.43,725,"1,349",260.4,887,445,,,,,,,,,,,,
,22,91,7.502,31.45,683,"1,344",260.4,884,445,,,,,,,,,,,,
TSSR12204V004,1,91,7.785,30.47,709,"1,348",260.5,920,445,1st,14,13.6,8.62,7.58,6.85,0.487,1.08,6.02,5.9,70%,46
,2,90.8,7.598,30.09,689,"1,332",260.4,950,445,2nd,32,,8.25,,6.75,0.483,,5.87,5.66,71%,34
,3,91,8.16,31.07,743,"1,343",260.4,974,445,3rd-1,56,,8.14,,7.02,0.483,,5.56,5.34,68%,
,4,91,7.701,30.3,701,"1,346",260.4,993,445,3rd-2,78,,8.31,,6.65,0.481,,6.37,6.03,77%,
,5,91,8.182,30.59,745,"1,350",260.3,"1,015",445,4th,86,,8.37,,6.51,0.487,,6.28,5.99,75%,
,6,90.5,7.761,31.61,702,"1,350",260.4,"1,032",445,,,,,,,,,,,,
,7,91,7.785,30.89,709,"1,344",260.4,"1,041",445,,,,,,,,,,,,
,8,91,7.73,30.53,704,"1,345",260.4,"1,118",445,,,,,,,,,,,,
,9,90.5,7.733,32.03,700,"1,344",260.4,"1,180",445,,,,,,,,,,,,
,10,90.5,7.644,29.27,691,"1,341",260.4,"1,239",445,,,,,,,,,,,,
,11,90,8.021,30.88,722,"1,325",260.4,"1,344",445,,,,,,,,,,,,
,12,90.4,7.941,30.65,718,"1,331",260.4,"1,402",445,,,,,,,,,,,,
,13,90.6,7.733,29.27,701,"1,329",260.3,"1,424",445,,,,,,,,,,,,
,14,90.2,7.622,31.74,688,"1,334",260.5,"1,466",445,,,,,,,,,,,,
,15,90,7.872,32.14,709,"1,308",260.4,"1,460",445,,,,,,,,,,,,
,16,90,7.609,31.93,685,"1,298",260.7,"1,445",445,,,,,,,,,,,,
TSSR12204V005,1,90.5,7.803,30.06,706,227,261.4,668,435,1st,16,13.55,8.55,7.4,7.22,0.49,0.89,6.19,5.98,72%,94
,2,90.8,7.906,32.92,718,684,261.3,670,435,2nd,40,,8.46,,7.38,0.492,,6.49,6.25,77%,39
,3,90.3,7.97,30.99,720,"1,267",261.2,682,435,3rd-1,64,,8.51,,6.87,0.484,,5.9,5.77,69%,
,4,91,7.972,32.37,725,"1,340",261.1,691,430,3rd-2,100,,8.32,,6.79,0.49,,6.09,5.73,73%,
,5,91,7.822,30.63,711,"1,300",261,700,430,4th,109,,8.44,,6.44,0.489,,6.28,6.06,74%,
,6,91.2,7.634,29.84,696,"1,336",261,700,435,,,,,,,,,,,,
,7,91,7.525,29.18,685,"1,348",261.6,713,435,,,,,,,,,,,,
,8,91,7.789,29.55,709,"1,350",261.5,725,435,,,,,,,,,,,,
,9,91,7.782,29.79,708,"1,348",261.2,721,435,,,,,,,,,,,,
,10,91,8.016,30.39,729,"1,350",261.8,718,435,,,,,,,,,,,,
,11,91.2,7.78,29.46,709,"1,348",261.1,718,435,,,,,,,,,,,,
,12,91,7.591,31.99,691,"1,352",261.2,726,435,,,,,,,,,,,,
,13,91,7.625,28.88,694,"1,347",261.2,730,430,,,,,,,,,,,,
,14,91,8.364,29.89,761,"1,352",261.2,732,430,,,,,,,,,,,,
,15,91,7.991,29.04,728,"1,348",261.3,723,430,,,,,,,,,,,,
,16,91,8.009,29.9,729,"1,297",261.2,725,430,,,,,,,,,,,,
,17,90.5,7.96,32.4,720,"1,345",261,733,430,,,,,,,,,,,,
,18,90.5,8.108,30.55,734,"1,335",261.2,751,430,,,,,,,,,,,,
,19,90.5,7.823,25.65,707,"1,343",261.2,767,430,,,,,,,,,,,,
,20,90.7,7.911,28.05,717,"1,328",261,770,430,,,,,,,,,,,,
,21,90.5,7.931,28.97,717,"1,346",261.2,771,430,,,,,,,,,,,,
,22,91,7.857,29.52,715,"1,344",261.3,771,430,,,,,,,,,,,,
,23,90.5,7.932,27.68,718,"1,335",261.2,763,430,,,,,,,,,,,,
,24,90.6,8.304,28.66,752,683,261.2,763,430,,,,,,,,,,,,
TSSR12204V006,1,90.5,8.048,29.39,729,"1,345",261.4,770,430,1st,2,13.6,8.69,7.71,6.51,0.49,0.94,5.99,5.82,69%,43
,2,90.7,7.997,27.85,725,"1,347",261.2,772,430,2nd,26,,8.28,,7.01,0.492,,6.29,6.01,76%,20
,3,90.5,7.957,28.66,720,370,261.1,777,430,3rd-1,50,,8.3,,6.5,0.485,,6.28,6.16,76%,20
,4,91,7.778,27.92,707,"1,347",261.2,773,430,3rd-2,66,,8.51,,6.82,0.485,,6.54,6.35,77%,
,5,91,8.052,27.67,733,"1,348",261.1,780,430,4th,98,,8.54,,6.28,0.489,,6.26,5.86,73%,
,6,91.6,7.711,27.71,707,"1,346",261.2,784,430,5th,110,,8.42,,7.45,0.486,,6.12,5.94,73%,
,7,91,8.254,29.76,751,"1,349",261.2,794,430,,,,,,,,,,,,
,8,91,7.877,28.81,717,"1,350",261.2,784,430,,,,,,,,,,,,
,9,91,8.094,30.13,737,"1,335",261.2,781,430,,,,,,,,,,,,
,10,91,8.479,29.34,772,"1,349",261.2,778,430,,,,,,,,,,,,
,11,91.2,7.893,30.31,720,"1,351",261.1,761,430,,,,,,,,,,,,
,12,91.5,8.035,30.8,735,"1,351",261,767,430,,,,,,,,,,,,
,13,91,7.597,31.36,692,"1,350",261.1,764,430,,,,,,,,,,,,
,14,91,7.59,29.51,691,"1,349",261,760,430,,,,,,,,,,,,
,15,91,7.828,31.34,712,"1,341",261.1,765,430,,,,,,,,,,,,
,16,90.1,8.066,30.76,726,"1,348",261.1,773,430,,,,,,,,,,,,
,17,90.5,8.085,32.3,732,"1,341",261.1,792,430,,,,,,,,,,,,
,18,91,7.905,29.48,720,"1,291",261.1,786,430,,,,,,,,,,,,
,19,90,7.63,30.43,687,"1,337",261.1,788,430,,,,,,,,,,,,
,20,90.2,7.976,30.22,719,"1,341",261.1,789,430,,,,,,,,,,,,
,21,90.5,7.676,29.55,695,"1,352",261.2,795,430,,,,,,,,,,,,
,22,90.5,7.661,31.21,694,"1,346",261.1,797,430,,,,,,,,,,,,
,23,91,7.967,28.53,725,"1,350",261.2,809,425,,,,,,,,,,,,
TSSR12204V007,1,91,7.862,26.39,715,"1,340",261.4,810,425,1st,6,13.88,8.51,7.64,7.12,0.486,0.98,6.28,6.05,74%,120
,2,91,8.017,30,729,"1,348",261,815,425,2nd-1,16,,8.32,,6.89,0.49,,6.07,5.87,73%,71
,3,91.4,7.779,28.77,711,"1,346",261,815,425,2nd-2,30,,8.51,,6.33,0.491,,6.53,6.4,77%,
,4,91,8.057,28.01,733,"1,348",261.3,817,425,3rd,70,,8.19,,6.73,0.483,,6.43,6.25,79%,
,5,91,8.276,29.88,753,"1,348",261,840,425,4th,102,,8.34,,6.78,0.499,,5.83,5.38,70%,
,6,91,8.411,31.42,765,"1,349",261,862,425,5th,118,,8.42,,6.21,0.493,,5.74,5.55,68%,
,7,91.4,8.453,26.16,773,"1,344",261.1,867,425,,,,,,,,,,,,
,8,91.5,7.915,29.07,724,"1,347",261,878,425,,,,,,,,,,,,
,9,91,8.549,31.14,778,"1,348",261,878,425,,,,,,,,,,,,
,10,91,7.74,28.62,704,"1,348",261,890,425,,,,,,,,,,,,
,11,91,7.646,28.09,696,"1,350",261,866,425,,,,,,,,,,,,
,12,91,8.042,28.01,732,"1,349",261.1,887,420,,,,,,,,,,,,
,13,90.5,7.792,29.18,706,"1,347",261.1,902,420,,,,,,,,,,,,
,14,90.5,7.832,30.4,709,"1,292",261.7,917,420,,,,,,,,,,,,
,15,91,7.67,27.09,698,"1,331",261.1,964,420,,,,,,,,,,,,
,16,91.2,7.589,25.36,692,"1,347",261,988,420,,,,,,,,,,,,
,17,90,7.516,27.98,677,670,261,"1,000",420,,,,,,,,,,,,
,18,91,7.858,27.88,715,"1,351",261,684,425,,,,,,,,,,,,
,19,90,8.023,28.37,722,"1,332",261,688,425,,,,,,,,,,,,
,20,90,7.885,29.71,709,263,261.2,702,425,,,,,,,,,,,,
,21,91,8.048,27.08,732,577,261.2,700,425,,,,,,,,,,,,
,22,91,7.884,31.82,717,518,261.7,640,415,,,,,,,,,,,,
,23,91,8.041,30.74,732,"1,354",261.5,640,415,,,,,,,,,,,,
,24,91.7,8.131,27.56,745,446,261.5,640,415,,,,,,,,,,,,
,25,91,8.103,24.39,737,748,261.5,640,415,,,,,,,,,,,,
TSSR12204V008,1,91.8,7.639,29.82,701,"1,349",260.8,715,430,1st,15,13.6,8.53,7.34,6.19,0.483,0.79,5.67,5.49,66%,39
,2,91.5,7.743,29.65,709,"1,353",261,716,430,2nd-1,39,,7.92,,6.39,0.482,,5.44,5.31,69%,38
,3,91,7.582,29.06,690,"1,333",260.8,732,430,2nd-2,54,,8.25,,6.88,0.489,,5.64,5.34,68%,
,4,91,7.626,27.18,694,"1,350",261,740,430,3rd,96,,8.19,,6.6,0.494,,5.91,5.61,72%,
,5,91,7.522,28.05,685,888,261,744,430,4th,113,,8.39,,7.27,0.49,,6.16,5.96,73%,
,6,91,7.701,28.44,701,"1,353",261,749,430,,,,,,,,,,,,
,7,91,7.861,27.62,715,"1,349",261,740,430,,,,,,,,,,,,
,8,91,7.767,31.56,707,"1,351",260.9,765,430,,,,,,,,,,,,
,9,90.7,8.327,30.71,755,"1,285",261,762,430,,,,,,,,,,,,
,10,90,7.945,30.31,715,866,261,765,430,,,,,,,,,,,,
,11,91,7.855,30.01,714,"1,308",261,762,425,,,,,,,,,,,,
,12,90.7,8.494,28.53,771,"1,342",261.1,800,420,,,,,,,,,,,,
,13,90.5,7.965,24.69,721,"1,347",261,860,425,,,,,,,,,,,,
,14,90,8.241,33.71,742,"1,346",261,875,435,,,,,,,,,,,,
,15,90.5,7.819,30.48,707,"1,345",261,887,435,,,,,,,,,,,,
,16,90.3,7.766,29.76,701,"1,346",261.3,916,435,,,,,,,,,,,,
,17,90.5,7.663,28.67,693,"1,346",261.2,930,435,,,,,,,,,,,,
,18,91.2,7.775,29.46,709,"1,347",261.4,953,435,,,,,,,,,,,,
,19,90.5,7.786,28.69,705,"1,342",261.4,962,435,,,,,,,,,,,,
,20,91,7.655,30.69,697,"1,343",261.2,964,435,,,,,,,,,,,,
,21,90.5,7.996,29.05,724,"1,341",261.2,990,435,,,,,,,,,,,,
,22,90.5,7.823,29.23,708,"1,343",261.2,990,435,,,,,,,,,,,,
,23,90.8,7.975,30.53,724,"1,345",261.1,"1,009",435,,,,,,,,,,,,
,24,90.5,7.564,31.26,685,"1,227",261,"1,030",435,,,,,,,,,,,,
TSSR12204V009,1,91,7.804,25.8,711,"1,353",261.4,550,405,1st,2,13.71,8.49,7.27,6.68,0.487,0.86,6.09,5.77,72%,21
,2,91.5,8.068,25.46,738,"1,353",261.4,551,405,2nd-1,20,,8.38,,6.47,0.49,,6.19,5.86,74%,48
,3,91.4,8.042,26.4,735,"1,355",261.4,574,405,2nd-2,34,,8.67,,6.25,0.493,,6.22,5.89,72%,81
,4,91.5,7.745,24.99,709,569,261.5,580,405,3rd,58,,8.54,,6.25,0.487,,6,5.77,70%,
,5,92,7.812,25.12,719,782,261.4,600,405,4th,106,,8.42,,6.43,0.496,,5.85,5.54,69%,
,6,91,7.644,27.4,696,"1,355",261.2,610,415,5th,122,,8.45,,6.18,0.488,,5.69,5.47,67%,
,7,91,7.974,27.29,726,"1,355",261.2,623,415,,,,,,,,,,,,
,8,91,7.845,29.42,714,"1,347",261.2,640,420,,,,,,,,,,,,
,9,91,7.709,27.7,701,"1,342",261.5,650,420,,,,,,,,,,,,
,10,91.2,7.892,27.78,728,"1,352",261.5,650,420,,,,,,,,,,,,
,11,91,7.542,27.65,686,433,261.5,680,425,,,,,,,,,,,,
,12,90.5,7.972,29.17,722,328,261.2,630,420,,,,,,,,,,,,
,13,91,7.902,27.77,719,"1,348",261,639,420,,,,,,,,,,,,
,14,91,7.555,28.97,688,"1,355",260.8,637,420,,,,,,,,,,,,
,15,91,7.899,26.21,719,"1,348",260.7,637,415,,,,,,,,,,,,
,16,91,8.339,28.72,759,"1,355",261,645,415,,,,,,,,,,,,
,17,91.2,7.984,27.26,728,"1,352",260.9,660,415,,,,,,,,,,,,
,18,90.5,7.991,27.72,724,773,260.9,665,415,,,,,,,,,,,,
,19,91,8.142,28.17,741,"1,356",260.9,665,415,,,,,,,,,,,,
,20,91,7.994,28.03,727,"1,351",259,625,410,,,,,,,,,,,,
,21,90.5,7.976,26.62,722,"1,352",259.4,726,425,,,,,,,,,,,,
,22,91,7.835,27.51,713,"1,352",259.4,740,425,,,,,,,,,,,,
,23,91,8.069,29.34,735,"1,352",259.2,743,425,,,,,,,,,,,,
,24,91.5,8.32,27.08,761,"1,354",259.2,743,425,,,,,,,,,,,,
,25,91,8.358,29.73,760,"1,353",259.2,756,430,,,,,,,,,,,,
TSSR12204V010,1,91,8.486,29.68,773,"1,352",259.2,756,430,1st-1,4,14.25,8.33,7.67,6.39,0.486,1.21,6.43,6.24,77%,26
,2,91.2,7.719,27.77,704,"1,349",259.3,745,430,1st-2,14,,8.18,,5.92,0.493,,5.57,5.38,68%,41
,3,90.5,8.513,29.86,771,"1,352",259.5,732,430,2nd,47,,8.09,,6.21,0.487,,5.94,5.63,73%,46
,4,91.5,7.769,29.4,711,"1,351",259.3,744,430,3rd,71,,7.94,,6.5,0.489,,6.25,5.82,79%,
,5,90.3,8.031,28.86,725,"1,349",259.1,747,430,4th-1,101,,8.51,,6.6,0.494,,6.19,5.95,73%,
,6,91,8.148,28.31,742,"1,351",259.1,750,430,4th-2,111,,8.62,,7.36,0.495,,5.63,5.38,65%,
,7,90.5,7.677,28.16,695,"1,354",259.2,757,430,5th,121,,8.25,,7.04,0.49,,6.16,5.98,75%,
,8,90.5,7.808,30,707,"1,358",259,759,430,,,,,,,,,,,,
,9,91,8.055,30.55,733,"1,351",259,756,430,,,,,,,,,,,,
,10,91.2,7.887,30.06,720,"1,351",259,756,430,,,,,,,,,,,,
,11,91.4,8.101,30.15,740,"1,349",259,757,430,,,,,,,,,,,,
,12,90,8.682,30.83,781,"1,351",259.1,764,430,,,,,,,,,,,,
,13,91,7.835,29.64,713,"1,346",259,770,430,,,,,,,,,,,,
,14,91,8.206,31.49,747,"1,353",259,771,430,,,,,,,,,,,,
,15,91,7.752,28.77,706,"1,352",259,767,430,,,,,,,,,,,,
,16,91,7.918,31.3,720,"1,355",259.2,785,430,,,,,,,,,,,,
,17,90.5,8.493,31.15,768,"1,355",259.2,790,430,,,,,,,,,,,,
,18,91,8.032,31.08,731,"1,350",259.3,787,430,,,,,,,,,,,,
,19,91,7.898,30.65,719,"1,350",259.3,783,430,,,,,,,,,,,,
,20,91.2,7.793,29.32,711,"1,351",259.3,790,430,,,,,,,,,,,,
,21,91,7.785,30.22,709,"1,352",259.3,796,430,,,,,,,,,,,,
,22,91,8.516,32.09,775,"1,349",259.3,797,430,,,,,,,,,,,,
TSSR12204V011,1,91,7.737,31.97,704,"1,352",259.4,790,430,1st,17,13.93,8.53,7.48,6.72,0.487,0.84,5.9,5.76,69%,41
,2,90.5,7.891,29.48,714,"1,348",259.2,796,430,2nd,43,,8.56,,6.71,0.489,,6.17,5.94,72%,31
,3,90.3,8.108,31.88,732,"1,356",259.2,780,430,3rd-1,59,,8.51,,6.66,0.486,,6.35,5.97,75%,59
,4,91,8.026,30.43,730,"1,339",259.2,788,430,3rd-2,75,,8.45,,6.68,0.489,,6.27,6.05,74%,
,5,91,8.405,31.57,765,"1,350",259.2,816,430,4th,107,,8.26,,7.19,0.49,,6.08,5.95,74%,
,6,91.3,8.117,30.33,741,"1,329",259.3,813,430,5th,119,,8.27,,7.02,0.497,,6.1,5.85,74%,
,7,91,8.035,33.66,731,"1,350",259,813,430,,,,,,,,,,,,
,8,91.3,7.966,30.36,727,"1,343",259.2,833,430,,,,,,,,,,,,
,9,91,8.175,30.52,744,"1,351",259,840,430,,,,,,,,,,,,
,10,91,8.193,31.35,745,"1,349",259,842,430,,,,,,,,,,,,
,11,91,7.821,27.62,712,"1,351",259,851,430,,,,,,,,,,,,
,12,91.9,7.884,28.45,725,"1,350",259.3,832,430,,,,,,,,,,,,
,13,91,8.327,29.96,757,"1,350",259.2,823,430,,,,,,,,,,,,
,14,91,7.774,29.45,707,"1,354",259.2,832,430,,,,,,,,,,,,
,15,90.5,7.707,29.76,697,"1,350",259.1,820,430,,,,,,,,,,,,
,16,91,7.597,29.51,691,"1,353",259.2,821,430,,,,,,,,,,,,
,17,91,8.009,30.36,729,"1,353",259.3,816,430,,,,,,,,,,,,
,18,91,8.17,30.81,743,"1,356",259.3,820,430,,,,,,,,,,,,
,19,91,8.045,31.25,732,"1,351",259.4,822,430,,,,,,,,,,,,
,20,91,8.062,30.84,734,"1,352",259.5,820,430,,,,,,,,,,,,
,21,91,8.016,26.37,729,"1,355",259.3,820,430,,,,,,,,,,,,
,22,91,7.828,27.01,712,"1,351",259.3,810,430,,,,,,,,,,,,
TSSR12204V012,1,90.5,7.783,29.12,705,"1,351",259.2,824,430,1st,18,13.73,8.4,7.4,7.26,0.494,1.18,5.75,5.66,68%,48
,2,91,8.477,31.61,771,"1,347",259.2,833,430,2nd-1,34,,8.61,,6.77,0.491,,5.97,5.51,69%,38
,3,91,8.162,31.77,743,"1,347",259.2,840,430,2nd-2,56,,8.13,,6.33,0.484,,5.87,5.72,72%,54
,4,90.5,8.329,30.75,753,"1,341",259.4,828,430,3rd,82,,8.33,,7.17,0.487,,5.86,5.46,70%,168
,5,91,7.628,30.58,694,"1,349",259,838,430,4th,98,,8.61,,6.83,0.485,,6.02,5.95,70%,
,6,90.5,8.067,29.75,730,"1,347",259.2,852,430,5th,124,,8.27,,6.9,0.487,,5.97,5.62,72%,
,7,90.5,7.788,26.5,705,"1,345",259.2,818,420,,,,,,,,,,,,
,8,91,7.845,27.68,714,"1,348",259.2,837,420,,,,,,,,,,,,
,9,90.7,8.236,28.72,748,"1,346",259.3,848,420,,,,,,,,,,,,
,10,91.8,7.958,30.31,730,"1,355",259.2,888,420,,,,,,,,,,,,
,11,91,7.864,30.01,715,"1,350",259.1,894,420,,,,,,,,,,,,
,12,91,8.303,30.21,756,"1,348",259.1,908,420,,,,,,,,,,,,
,13,91,7.91,27.91,720,"1,348",259.2,910,420,,,,,,,,,,,,
,14,91,8.251,28.74,757,"1,349",259.3,907,420,,,,,,,,,,,,
,15,91,7.848,27.81,715,"1,354",259.3,940,420,,,,,,,,,,,,
,16,91,7.613,28.01,689,"1,337",259.3,940,420,,,,,,,,,,,,
,17,90.5,7.85,26.76,710,"1,350",259.3,941,420,,,,,,,,,,,,
,18,90,7.671,26.86,691,"1,350",259.3,"1,006",420,,,,,,,,,,,,
,19,91,8.042,30.04,732,"1,344",259.2,"1,021",410,,,,,,,,,,,,
,20,90,8.15,27.3,733,"1,347",259,"1,168",410,,,,,,,,,,,,
,21,90.5,7.807,27.81,706,"1,341",259.2,"1,210",410,,,,,,,,,,,,
,22,90.5,8.281,20.73,750,551,259.2,"1,210",410,,,,,,,,,,,,
,23,90.7,7.958,30.69,722,"1,338",259.1,"1,258",415,,,,,,,,,,,,
TSSR12204V013,1,91,7.912,25.72,720,"1,350",258.9,702,420,1st-1,13,13.86,8.29,8.2,7.12,0.486,0.84,6.16,5.59,74%,56
,2,91,7.717,30.69,702,251,258.9,730,430,1st-2,23,,8.23,,6.97,0.486,,5.56,5.2,68%,85
,3,91,7.869,28.26,716,"1,334",259.7,693,430,2nd,59,,8.31,,6.52,0.494,,5.94,5.6,71%,140
,4,91,8.059,27.68,734,"1,345",259.8,693,430,3rd,83,,8.46,,6.46,0.491,,5.81,5.59,69%,
,5,90.5,8.503,28.77,770,"1,349",259.8,698,430,4th-1,105,,8.38,,6.48,0.48,,5.76,5.54,69%,
,6,91,8.301,29.69,756,"1,341",259.8,710,430,4th-2,107,,8.39,,6.36,0.482,,6.05,5.48,72%,
,7,90,8.286,25.89,746,"1,348",259.8,720,430,,,,,,,,,,,,
,8,91,8.37,31.15,762,"1,349",259.8,721,435,,,,,,,,,,,,
,9,90.5,7.747,28.47,701,"1,339",259.8,728,435,,,,,,,,,,,,
,10,90.5,7.89,27.53,714,"1,236",259.8,733,435,,,,,,,,,,,,
,11,91,8.04,31.95,732,"1,346",259.8,734,435,,,,,,,,,,,,
,12,91,7.872,31.21,717,"1,349",260,735,435,,,,,,,,,,,,
,13,91,8.25,31.35,751,"1,346",260,815,435,,,,,,,,,,,,
,14,90.5,8.202,28.42,742,"1,349",257,857,440,,,,,,,,,,,,
,15,91,7.769,28.9,707,"1,350",256.8,885,450,,,,,,,,,,,,
,16,91,7.563,28.64,688,"1,088",256.8,902,450,,,,,,,,,,,,
,17,91,8.667,26.49,789,"1,346",256.7,918,450,,,,,,,,,,,,
,18,90.5,8.208,27.2,743,"1,345",257,920,460,,,,,,,,,,,,
,19,91,7.788,30.48,709,"1,344",256.9,901,460,,,,,,,,,,,,
,20,91,7.798,31.98,709,"1,345",257,905,460,,,,,,,,,,,,
,21,91,8.339,30.2,759,"1,327",257,917,460,,,,,,,,,,,,
,22,91.5,7.606,32.27,696,"1,346",257,928,460,,,,,,,,,,,,
,23,90,8.181,30.71,737,"1,343",256.7,939,460,,,,,,,,,,,,
TSSR12204V014,1,91,7.753,29.64,706,"1,342",257.5,936,460,1st,18,13.41,8.3,7.18,6.37,0.489,1.16,5.88,5.65,71%,131
,2,90.2,7.989,29.6,720,"1,336",256.9,936,460,2nd-1,36,,8.13,,6.3,0.485,,5.7,5.39,70%,71
,3,90.5,8.452,33.38,765,"1,338",256.8,956,460,2nd-2,58,,8.39,,6.57,0.493,,5.67,5.24,68%,68
,4,91,8.087,32.62,736,"1,343",256.8,969,460,3rd,82,,8.17,,6.7,0.49,,5.98,5.82,73%,
,5,91,7.818,30.82,711,"1,341",256.9,956,460,4th,122,,8.32,,6.97,0.49,,5.96,5.63,72%,
,6,90.5,7.974,28.36,722,"1,345",256.8,961,460,,,,,,,,,,,,
,7,90,7.945,32.54,715,"1,333",256.9,"1,010",460,,,,,,,,,,,,
,8,91,7.769,31.99,707,"1,345",256.9,"1,030",460,,,,,,,,,,,,
,9,91,7.537,31.2,686,"1,341",257,"1,102",460,,,,,,,,,,,,
,10,91,7.577,28.81,689,"1,343",257,"1,159",460,,,,,,,,,,,,
,11,90,7.637,31.45,687,"1,342",256.9,"1,238",460,,,,,,,,,,,,
,12,90.5,7.544,30.73,683,"1,349",256.9,850,455,,,,,,,,,,,,
,13,91,7.832,31.05,713,"1,343",256.8,853,455,,,,,,,,,,,,
,14,91,7.938,27.89,722,"1,346",256.9,882,455,,,,,,,,,,,,
,15,91,7.797,29.2,710,"1,337",256.9,885,455,,,,,,,,,,,,
,16,91,8.093,25.82,736,"1,346",256.9,903,455,,,,,,,,,,,,
,17,91,7.667,27.4,698,"1,341",256.8,920,455,,,,,,,,,,,,
,18,90.5,7.632,29.39,691,"1,342",256.9,933,455,,,,,,,,,,,,
,19,90,7.795,30.82,701,"1,342",256.9,949,455,,,,,,,,,,,,
,20,90,7.707,29.26,694,"1,346",256.9,960,455,,,,,,,,,,,,
,21,90.3,7.703,27.52,696,"1,341",256.9,972,450,,,,,,,,,,,,
,22,91.5,7.608,31.07,696,"1,347",256.9,990,450,,,,,,,,,,,,
TSSR12204V015,1,91,7.885,29.31,717,"1,346",256.9,999,450,1st-1,16,13.48,8.35,7.28,6.39,0.492,1.13,6.2,6.03,74%,76
,2,90,8.003,29.81,720,"1,316",256.9,"1,012",450,1st-2,26,,8.34,,6.75,0.494,,5.52,5.47,66%,117
,3,90.5,7.825,29.53,709,"1,343",256.9,"1,028",450,2nd,58,,8.25,,6.66,0.485,,6.02,5.81,73%,209
,4,91.2,8.076,31.52,737,"1,336",256.9,"1,040",450,3rd-1,69,,8.22,,6.46,0.487,,6.01,5.8,73%,
,5,90.5,7.71,30.48,697,"1,026",257,"1,070",450,3rd-2,91,,8.11,,6.94,0.49,,6.05,8.78,75%,
,6,91,8.01,31.05,729,"1,350",257,840,465,4th-1,101,,8.1,,6.64,0.469,,6.14,5.98,76%,
,7,91,7.535,29.24,686,"1,348",256.8,870,465,4th-2,115,,8.16,,6.63,0.486,,6.27,6.08,77%,
,8,91,7.713,31.24,701,691,256.9,878,465,,,,,,,,,,,,
,9,91,7.783,29.33,709,"1,347",256.8,913,465,,,,,,,,,,,,
,10,90,8.05,27.66,725,"1,349",256.9,935,460,,,,,,,,,,,,
,11,91,7.612,29.7,693,"1,347",256.9,941,460,,,,,,,,,,,,
,12,90.8,7.804,27.18,709,"1,345",256.9,974,460,,,,,,,,,,,,
,13,91,7.554,30.14,688,"1,345",256.9,984,460,,,,,,,,,,,,
,14,91,7.903,27.52,719,"1,344",256.9,988,460,,,,,,,,,,,,
,15,91.5,7.582,33.21,694,422,257,994,460,,,,,,,,,,,,
,16,90.5,7.897,30.74,715,"1,349",256.9,"1,019",460,,,,,,,,,,,,
,17,91,7.976,32.26,726,"1,336",259.1,981,445,,,,,,,,,,,,
,18,90.5,8.047,29.24,728,546,259,991,445,,,,,,,,,,,,
,19,90.5,7.696,29.66,696,379,259.1,995,445,,,,,,,,,,,,
