Lot NO,Melt No,Melt Denier,Melt g/den,Melt (%),Melt (gf),Melt Weight(g),Melt temp,Pack Press (psi),"1 G/R Speed
(mpm)","Batch
No.","Spool
No.",Coating Straight,"Coating
EP","Coating
USP","Coating
Knot security","Coating
Diameter","Coating
Tie-down",Fast 1W Avg,Fast 1W Min ,Fast 1W %,Moisture
,10,90,7.768,32.47,699,"1,333",260.6,"1,049",465,,,,,,,,,,,,
,11,90.3,7.905,33.65,714,"1,331",260.8,"1,050",465,,,,,,,,,,,,
,12,90.4,7.687,29.87,695,"1,335",260.9,"1,052",465,,,,,,,,,,,,
,13,90.5,7.882,32.65,713,"1,342",260.8,"1,052",465,,,,,,,,,,,,
,14,91,8.03,31.05,731,"1,342",260.8,"1,048",465,,,,,,,,,,,,
,15,91,8.185,33.85,745,"1,338",260.9,"1,040",465,,,,,,,,,,,,
,16,91,7.967,32.92,725,"1,341",261,"1,035",465,,,,,,,,,,,,
,17,91,8.091,27.91,736,"1,339",261,"1,047",465,,,,,,,,,,,,
,18,90.2,7.929,32.64,715,"1,335",261,"1,065",465,,,,,,,,,,,,
,19,91,7.823,31.88,712,"1,349",261.1,"1,060",465,,,,,,,,,,,,
,20,90.5,7.735,30.84,700,"1,342",261.1,"1,072",465,,,,,,,,,,,,
,21,91,7.76,30.46,707,"1,341",261,"1,065",465,,,,,,,,,,,,
,22,90.2,7.975,32.36,720,"1,346",261,"1,073",465,,,,,,,,,,,,
,23,91,7.946,33.21,723,"1,334",261,"1,052",465,,,,,,,,,,,,
,24,91.5,7.511,31.05,688,"1,325",261,"1,076",465,,,,,,,,,,,,
,25,90.3,7.878,33.03,711,"1,337",261,"1,088",465,,,,,,,,,,,,
,26,90.3,7.61,32,687,"1,337",261,"1,088",465,,,,,,,,,,,,
,27,90.2,7.628,31.74,688,853,261,"1,093",465,,,,,,,,,,,,
TSSR12201V004,1,91,7.942,31.06,722,"1,337",261,"1,100",465,1st,6,13.24,8.07,7.07,6.6,0.487,0.83,5.8,4.66,72%,59
,2,90.5,7.957,30.4,720,"1,333",260.8,"1,114",465,2nd-1,28,,8.07,,6.78,0.483,,6.04,5.9,75%,67
,3,90.5,7.701,32.17,697,"1,338",260.5,"1,103",465,2nd-2,44,,8.22,,6.58,0.481,,6.15,5.71,75%,82
,4,91,8.264,32.73,752,"1,335",261.1,"1,113",465,3rd,54,,8.27,,5.43,0.488,,5.99,5.88,72%,
,5,90,7.997,30.35,720,"1,334",261,"1,111",465,4th,102,,7.97,,6.51,0.478,,6.29,5.84,79%,
,6,90,8.336,29.75,750,"1,332",260.9,"1,120",465,5th,118,,7.9,,6.59,0.474,,6.08,5.78,77%,
,7,90.2,7.86,33.91,709,"1,331",261.1,"1,111",470,,,,,,,,,,,,
,8,90.2,7.736,35.02,697,"1,338",260.8,"1,111",470,,,,,,,,,,,,
,9,90,7.93,33.23,714,"1,330",260.8,"1,116",470,,,,,,,,,,,,
,10,90.5,7.972,30.86,722,"1,339",260.9,"1,115",470,,,,,,,,,,,,
,11,91,7.863,31.13,715,"1,329",261,"1,130",470,,,,,,,,,,,,
,12,91,7.785,33.29,709,"1,334",260.8,"1,145",470,,,,,,,,,,,,
,13,90.5,7.943,32.12,719,"1,321",260.8,"1,140",470,,,,,,,,,,,,
,14,91.5,7.641,31.47,699,"1,332",261,"1,135",470,,,,,,,,,,,,
,15,90,7.807,32.33,702,"1,329",261,"1,156",470,,,,,,,,,,,,
,16,90.2,7.887,33.94,711,"1,321",261,"1,157",470,,,,,,,,,,,,
,17,91,7.635,32.55,695,"1,327",261.2,"1,178",470,,,,,,,,,,,,
,18,90,7.776,31.46,700,"1,327",261.2,"1,220",470,,,,,,,,,,,,
,19,90.5,7.723,34.43,699,"1,240",260.8,"1,267",470,,,,,,,,,,,,
,20,91,7.723,34.31,703,"1,300",261,"1,340",470,,,,,,,,,,,,
,21,90,7.806,32.72,703,"1,319",260.9,"1,392",470,,,,,,,,,,,,
,22,90,7.7,34.08,693,"1,309",261,"1,392",470,,,,,,,,,,,,
TSSR12201V005,1,91,7.787,28.13,709,"1,346",260.3,836,440,1st,16,14.14,8.05,8.07,7.1,0.489,0.98,6.24,5.91,78%,88
,2,91.5,7.93,32.42,725,"1,358",260.2,857,440,2nd,42,,8.23,,7.48,0.495,,5.97,5.75,73%,112
,3,91,8.569,29.25,780,"1,352",260.4,888,440,3rd,74,,7.91,,6.81,0.486,,5.26,5.04,66%,156
,4,91.3,7.587,30.42,692,"1,345",260.4,887,450,4th-1,84,,8.35,,6.66,0.493,,6.68,6.45,80%,
,5,90.5,7.911,30.24,716,"1,355",260.5,893,450,4th-2,106,,8.3,,6.94,0.492,,6.1,5.76,73%,
,6,90.5,7.731,29.73,700,"1,356",260.4,888,450,5th,122,,7.99,,6.38,0.487,,6.31,6.06,79%,
,7,91,7.724,31.15,703,"1,363",260.5,882,450,,,,,,,,,,,,
,8,91.5,7.686,31.41,703,"1,347",260.5,893,450,,,,,,,,,,,,
,9,91.5,7.774,29.47,711,"1,353",260.5,942,450,,,,,,,,,,,,
,10,91,7.983,28.25,726,"1,367",260,964,450,,,,,,,,,,,,
,11,91.2,8.242,30.49,752,"1,344",260.5,967,455,,,,,,,,,,,,
,12,91.8,8.099,31.16,743,"1,364",260.1,960,455,,,,,,,,,,,,
,13,91.5,7.728,27.13,707,"1,361",260,967,455,,,,,,,,,,,,
,14,91.2,7.813,28.08,712,"1,185",260.1,965,455,,,,,,,,,,,,
,15,90.6,8.198,30,743,516,260,967,460,,,,,,,,,,,,
,16,91.5,7.775,34.94,711,"1,345",260,920,480,,,,,,,,,,,,
,17,90.5,8.129,33.99,735,"1,348",260.2,925,470,,,,,,,,,,,,
,18,91,7.875,35.56,716,"1,343",260.2,955,470,,,,,,,,,,,,
,19,90.6,7.738,33.6,701,"1,349",260.2,954,470,,,,,,,,,,,,
,20,91.2,7.687,34.22,701,"1,347",260.3,977,475,,,,,,,,,,,,
,21,90.5,7.553,29.74,684,"1,350",260.2,"1,004",485,,,,,,,,,,,,
,22,90.7,7.731,33.14,701,"1,350",260.1,"1,003",490,,,,,,,,,,,,
,23,90.8,7.532,33.95,684,"1,358",260,"1,002",490,,,,,,,,,,,,
TSSR12201V006,1,90.5,7.936,34.69,719,"1,349",260.1,998,490,1st,12,12.7,8.12,6.5,6.9,0.492,0.97,6.26,6.04,77%,48
,2,91,7.87,35.51,716,"1,351",260.1,"1,000",490,2nd,44,,8.19,,6.17,0.486,,5.42,4.53,66%,83
,3,91.5,7.503,37.3,686,"1,354",260,996,490,3rd-1,54,,8.19,,6.58,0.484,,6.35,6.22,78%,51
,4,91.2,7.716,32.23,704,"1,353",260,"1,004",485,3rd-2,76,,7.85,,6.79,0.489,,6.31,6.09,80%,72
,5,91,7.789,30.97,709,"1,355",260,992,485,4th,100,,7.98,,7.53,0.494,,6.08,5.88,76%,
,6,91.2,7.505,32.64,684,"1,350",260,983,485,5th,124,,8.23,,6.08,0.486,,6.18,5.83,75%,
,7,91,7.676,32.19,699,"1,356",260,"1,002",485,,,,,,,,,,,,
,8,91.2,7.774,31.5,709,"1,358",260.2,956,480,,,,,,,,,,,,
,9,91.5,7.773,34.94,711,"1,360",260,980,480,,,,,,,,,,,,
,10,91.8,7.758,31.87,712,"1,349",260.2,988,480,,,,,,,,,,,,
,11,91,7.74,33.15,704,"1,360",260,986,480,,,,,,,,,,,,
,12,92,7.795,34.14,717,"1,353",260.1,993,480,,,,,,,,,,,,
,13,91,7.943,28.74,723,"1,360",260.1,993,480,,,,,,,,,,,,
,14,91,7.713,31.97,702,"1,327",260,996,480,,,,,,,,,,,,
,15,91.5,7.808,34.18,715,"1,359",260,996,485,,,,,,,,,,,,
,16,91.5,7.685,34.47,703,"1,334",260.1,992,485,,,,,,,,,,,,
,17,90.5,7.585,33.37,686,"1,346",260,994,485,,,,,,,,,,,,
,18,91,7.726,34.01,703,799,260.1,999,485,,,,,,,,,,,,
,19,90.3,7.677,30.78,694,797,260,970,470,,,,,,,,,,,,
,20,91,8.208,31.53,747,"1,361",260.1,999,470,,,,,,,,,,,,
,21,90.7,7.603,32.34,689,"1,348",260.1,997,470,,,,,,,,,,,,
,22,91,8.144,30.7,741,"1,355",260,"1,000",470,,,,,,,,,,,,
,23,91,7.86,30.77,715,"1,341",260,"1,004",470,,,,,,,,,,,,
TSSR12201V007,1,91.5,7.722,31.85,707,"1,354",260,"1,000",470,1st,26,13.55,8.3,7.06,6.56,0.493,0.66,6.37,5.8,77%,68
,2,91.7,7.769,33.64,712,"1,350",260.2,"1,003",470,2nd,42,,8.1,,6.61,0.49,,6.04,5.8,75%,105
,3,91.5,7.939,31.56,727,"1,349",260,"1,000",470,3rd-1,66,,7.97,,6.06,0.489,,6.57,6.25,82%,107
,4,91.4,7.949,31.68,727,"1,353",260,996,470,3rd-2,82,,8.03,,6.58,0.484,,6.16,5.93,77%,84
,5,91,7.726,31.14,703,"1,356",260.7,"1,002",470,4th,98,,7.93,,7.09,0.481,,6.04,5.53,76%,
,6,92,8.155,31.4,750,"1,353",260.4,"1,007",470,5th,124,,7.93,,6.66,0.483,,6.14,5.8,77%,
,7,91,8.185,35.72,744,"1,352",260.4,990,470,,,,,,,,,,,,
,8,91.4,7.773,30.84,711,"1,343",260.4,"1,012",470,,,,,,,,,,,,
,9,91.4,8.06,33.16,737,"1,346",260.4,"1,000",470,,,,,,,,,,,,
,10,92,8.052,33.72,740,"1,348",260.4,994,470,,,,,,,,,,,,
,11,91,7.884,32.63,717,"1,343",260.4,"1,005",470,,,,,,,,,,,,
,12,91,7.793,32.36,709,"1,350",260.5,"1,000",470,,,,,,,,,,,,
,13,90.5,7.688,29.18,696,"1,355",260.4,"1,010",470,,,,,,,,,,,,
,14,90.5,7.632,33.76,691,"1,266",260.3,"1,016",470,,,,,,,,,,,,
,15,90.8,7.792,34.15,707,"1,342",260.1,994,480,,,,,,,,,,,,
,16,91,7.533,33.22,686,"1,344",260.8,982,480,,,,,,,,,,,,
,17,91,7.548,32.25,687,"1,345",260.5,992,480,,,,,,,,,,,,
,18,90.6,7.644,32.23,692,"1,346",260.7,994,480,,,,,,,,,,,,
,19,91,7.749,32.6,706,"1,343",260.7,992,480,,,,,,,,,,,,
,20,91,7.859,34.49,715,"1,350",260.5,"1,005",480,,,,,,,,,,,,
,21,91,7.637,33.94,695,"1,353",260,995,480,,,,,,,,,,,,
,22,91.2,7.64,33.41,697,"1,356",260,"1,000",480,,,,,,,,,,,,
,23,91,7.806,29.51,710,305,260,"1,005",480,,,,,,,,,,,,
TSSR12201V008,1,90.5,7.952,32.66,720,"1,345",260.4,"1,004",480,1st,22,13.1,8.16,7.43,6.85,0.494,0.81,6.05,5.96,74%,101
,2,91.5,7.767,30.61,711,"1,350",260.4,"1,010",480,2nd-1,32,,8.14,,7.16,0.492,,6.34,6.07,78%,67
,3,91,7.718,30.7,702,"1,357",260.4,"1,030",480,2nd-2,46,,8.14,,6.7,0.491,,6.24,5.99,77%,68
,4,91.2,7.745,32.67,706,"1,358",260.3,"1,017",480,3rd,70,,8.17,,6.84,0.491,,5.99,5.76,73%,
,5,91.3,7.9,30.74,721,"1,347",260.4,"1,040",480,4th-1,103,,7.92,,7.2,0.494,,6.02,5.88,76%,
,6,91,8.245,30.3,750,"1,348",260.4,"1,037",480,4th-2,125,,7.88,,6.32,0.492,,6.12,5.9,78%,
,7,91.2,7.837,31.94,715,"1,347",260.5,"1,022",480,5th,130,,8.23,,6.44,0.493,,6.23,5.94,76%,
,8,90.5,7.719,30.94,698,"1,345",260.6,"1,031",480,,,,,,,,,,,,
,9,91,7.623,30.08,694,"1,348",260.6,"1,044",480,,,,,,,,,,,,
,10,90.2,7.97,33.88,719,"1,347",260.5,"1,030",480,,,,,,,,,,,,
,11,90,7.656,32.76,689,"1,345",260.1,"1,040",490,,,,,,,,,,,,
,12,91,7.704,34.28,701,"1,350",260,"1,037",490,,,,,,,,,,,,
,13,91,7.517,33.87,684,"1,351",260,"1,048",490,,,,,,,,,,,,
,14,91.3,7.837,33.93,715,"1,348",260,"1,047",485,,,,,,,,,,,,
,15,91,7.904,34.14,719,"1,341",260.5,"1,039",485,,,,,,,,,,,,
,16,90.2,7.803,33.54,704,"1,348",260.5,"1,048",485,,,,,,,,,,,,
